0,0,0,0
-257036,-64459,-182321,0
-257387,-64459,-182321,500
-258422,-64459,-182321,1000
-260078,-64459,-182321,1500
-262236,-64459,-182321,2000
-264714,-64459,-182321,2500
-267212,-64459,-182321,3000
-269224,-64459,-182321,3500
-270036,-64459,-182321,4000
-269224,-64459,-182321,4500
-267212,-64459,-182321,5000
-264714,-64459,-182321,5500
-262236,-64459,-182321,6000
-260078,-64459,-182321,6500
-258422,-64459,-182321,7000
-257387,-64459,-182321,7500
-257036,-64459,-182321,8000
-257387,-64459,-182321,8500
-258422,-64459,-182321,9000
-260078,-64459,-182321,9500
-262236,-64459,-182321,10000
-264714,-64459,-182321,10500
-267212,-64459,-182321,11000
-269224,-64459,-182321,11500
-270036,-64459,-182321,12000
-269224,-64459,-182321,12500
-267212,-64459,-182321,13000
-264714,-64459,-182321,13500
-262236,-64459,-182321,14000
-260078,-64459,-182321,14500
-258422,-64459,-182321,15000
-257387,-64459,-182321,15500
-257036,-64459,-182321,16000
0,0,0,0
